Variable:,location_id,ihme_loc_id,location_name,indicator_id,indicator_name,measure,year_id,val,lower,upper,parent_location,sdi_quintile,super_region_name,region_name
Label:,Location ID,Abbreviated location name,Location name,Indicator ID,Indicator name,Measure,Year,Mean value,95% uncertainty interval (lower bound),95% uncertainty interval (upper bound),"Name of the ""parent"" location for subnational locations",SDI quintile,GBD super-region name,GBD region name
Value coding:,1,G,Global,849,Non-melanoma skin cancer (squamous-cell carcinoma),Index value (0 to 100),1990,,,,Global,High SDI,"Southeast Asia, East Asia, and Oceania South Asia",East Asia
,4,S6,"Southeast Asia, East Asia, and Oceania",708,Adverse effects of medical treatment,,1995,,,,"Southeast Asia, East Asia, and Oceania",High-middle SDI,"Central Europe, Eastern Europe, and Central Asia",Southeast Asia
,31,S2,"Central Europe, Eastern Europe, and Central Asia",643,Congenital heart anomalies,,2000,,,,"Central Europe, Eastern Europe, and Central Asia",Middle SDI,High-income,Oceania
,64,S1,High-income,589,Chronic kidney disease,,2005,,,,High-income,Low-middle SDI,Latin America and Caribbean,Central Asia
,103,S7,Latin America and Caribbean,587,Diabetes mellitus,,2010,,,,Latin America and Caribbean,Low SDI,North Africa and Middle East,Central Europe
,137,S4,North Africa and Middle East,545,Epilepsy,,2016,,,,North Africa and Middle East,,Sub-Saharan Africa,Eastern Europe
,158,S5,South Asia,534,Gallbladder and biliary diseases,,,,,,South Asia,,,High-income Asia Pacific
,166,S3,Sub-Saharan Africa,531,"Inguinal, femoral, and abdominal hernia",,,,,,Sub-Saharan Africa,,,Australasia
,5,R3,East Asia,529,Appendicitis,,,,,,East Asia,,,Western Europe
,9,R5,Southeast Asia,527,Peptic ulcer disease,,,,,,Southeast Asia,,,Southern Latin America
,21,R17,Oceania,508,Chronic respiratory diseases,,,,,,Oceania,,,High-income North America
,6,CHN,China,498,Hypertensive heart disease,,,,,,China,,,Caribbean
,7,PRK,North Korea,494,Cerebrovascular disease,,,,,,North Korea,,,Andean Latin America
,8,TWN,Taiwan,493,Ischemic heart disease,,,,,,Taiwan,,,Central Latin America
,491,CHN_491,Anhui,492,Rheumatic heart disease,,,,,,Cambodia,,,Tropical Latin America
,492,CHN_492,Beijing,487,Leukemia,,,,,,Indonesia,,,North Africa and Middle East
,493,CHN_493,Chongqing,484,Hodgkin lymphoma,,,,,,Laos,,,South Asia
,494,CHN_494,Fujian,468,Testicular cancer,,,,,,Malaysia,,,Central Sub-Saharan Africa
,495,CHN_495,Gansu,441,Colon and rectum cancer,,,,,,Maldives,,,Eastern Sub-Saharan Africa
,496,CHN_496,Guangdong,435,Uterine cancer,,,,,,Mauritius,,,Southern Sub-Saharan Africa
,497,CHN_497,Guangxi,432,Cervical cancer,,,,,,Myanmar,,,Western Sub-Saharan Africa
,498,CHN_498,Guizhou,429,Breast cancer,,,,,,Philippines,,,
,499,CHN_499,Hainan,380,Neonatal disorders,,,,,,Sri Lanka,,,
,500,CHN_500,Hebei,366,Maternal disorders,,,,,,Seychelles,,,
,501,CHN_501,Heilongjiang,341,Measles,,,,,,Thailand,,,
,502,CHN_502,Henan,340,Tetanus,,,,,,Timor-Leste,,,
,354,CHN_354,Hong Kong Special Administrative Region of China,339,Whooping cough,,,,,,Vietnam,,,
,503,CHN_503,Hubei,338,Diphtheria,,,,,,American Samoa,,,
,504,CHN_504,Hunan,328,Upper respiratory infections,,,,,,Federated States of Micronesia,,,
,505,CHN_505,Inner Mongolia,322,Lower respiratory infections,,,,,,Fiji,,,
,506,CHN_506,Jiangsu,302,Diarrheal diseases,,,,,,Guam,,,
,507,CHN_507,Jiangxi,297,Tuberculosis,,,,,,Kiribati,,,
,508,CHN_508,Jilin,100,Healthcare Access and Quality Index,,,,,,Marshall Islands,,,
,509,CHN_509,Liaoning,,,,,,,,Northern Mariana Islands,,,
,361,CHN_361,Macao Special Administrative Region of China,,,,,,,,Papua New Guinea,,,
,510,CHN_510,Ningxia,,,,,,,,Samoa,,,
,511,CHN_511,Qinghai,,,,,,,,Solomon Islands,,,
,512,CHN_512,Shaanxi,,,,,,,,Tonga,,,
,513,CHN_513,Shandong,,,,,,,,Vanuatu,,,
,514,CHN_514,Shanghai,,,,,,,,Central Asia,,,
,515,CHN_515,Shanxi,,,,,,,,Central Europe,,,
,516,CHN_516,Sichuan,,,,,,,,Eastern Europe,,,
,517,CHN_517,Tianjin,,,,,,,,Armenia,,,
,518,CHN_518,Tibet,,,,,,,,Azerbaijan,,,
,519,CHN_519,Xinjiang,,,,,,,,Georgia,,,
,520,CHN_520,Yunnan,,,,,,,,Kazakhstan,,,
,521,CHN_521,Zhejiang,,,,,,,,Kyrgyzstan,,,
,10,KHM,Cambodia,,,,,,,,Mongolia,,,
,11,IDN,Indonesia,,,,,,,,Tajikistan,,,
,12,LAO,Laos,,,,,,,,Turkmenistan,,,
,13,MYS,Malaysia,,,,,,,,Uzbekistan,,,
,14,MDV,Maldives,,,,,,,,Albania,,,
,183,MUS,Mauritius,,,,,,,,Bosnia and Herzegovina,,,
,15,MMR,Myanmar,,,,,,,,Bulgaria,,,
,16,PHL,Philippines,,,,,,,,Croatia,,,
,17,LKA,Sri Lanka,,,,,,,,Czech Republic,,,
