impact,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Value Added,23807938.422560275,25050507.206277624,27924078.39113971,28075900.821358256,30669568.60865452,36419222.49606201,37365797.99982682,36799666.493824854,34515603.82297906,35333994.804523654,38279198.79547178,41105642.678981066,42456490.51950058,43384159.66751671,43400714.37097628,49990615.706890754,52934204.47832376,58575068.54983272,58276664.743067615
Employment,2421184.5529997977,2460120.922000007,2481972.5200000284,2525222.6859994326,2569599.3970000464,2602571.4460004275,2643028.1130001517,2683428.103999822,2709457.043999969,2765362.1710001435,2796728.3100000997,2862591.9570006356,2945442.66299982,2944472.079000621,2965027.469999985,3024664.026000057,3042368.2469997066,3104552.511999614,3114105.934700923
Employment hour,5232651458399.527,5333773701839.991,5386235290360.504,5459557684239.641,5554913631320.335,5631652779612.749,5709485456839.693,5783239120359.137,5840760727280.679,5963892532441.002,6091927764000.396,6206653288240.868,6339773926319.55,6312404541798.775,6321974889039.471,6493726573760.35,6537703841799.511,6647957989080.052,6678508400355.149
"GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)",32151198469385.57,31624460091583.895,31867447383788.086,31899434038244.043,32001361769676.0,32931196041679.043,33251510109613.1,33797384907079.82,34933480746628.266,36474954281990.7,37724873628735.09,38875263429153.94,40011201983134.88,40380546065626.875,39915208763929.484,41907761491514.484,43333606783672.61,43515245813155.695,44031362648106.65
"Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)",13142167.948488366,12760843.956988418,12328276.956787,11870281.693850998,11612529.388737936,14993891.494229889,12286687.714519877,12285271.775901278,12924988.727124395,14491410.828394866,15738124.303851327,17975698.579488512,20022450.67299668,18878916.81667011,14865118.850147434,19582100.98373882,22354958.1673886,24316189.84636229,23437257.418776777
"Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)",7144555022291.308,6982946996591.211,6795412211923.852,6594689231656.113,6532727971902.394,8519150310766.437,6924571901961.434,6920831566486.644,7261919826788.387,8220000701793.247,8954534950203.139,10341892418865.209,11608689690214.102,10874926477895.855,8274290977442.825,11195488222620.104,12949263390062.475,13994179201597.32,13496543053408.51
"EPS | Damage Approach | EPS (Steen, 1999))",37671886220632.88,36219035041372.37,34991819682167.156,33643755655072.457,32320518285458.367,48302080176298.375,35781828938441.26,33849838513736.008,34316462961692.73,36544406705588.67,37953216117471.13,42803694090330.09,47175333421911.37,45693120344168.32,38752161314665.24,48596930675332.43,54280582051262.65,60396261057795.836,59244329724724.33
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A),4590220.488830181,4574340.620176073,4466780.196808562,4336605.672603771,4318874.983045884,5319689.455938887,4466287.4025669545,4448702.589992454,4618551.064272401,5072402.270350248,5400519.939406235,6016838.731294651,6580220.188436805,6276389.756638963,5223161.461893327,6401179.705059302,7031268.1307445485,7459710.900951784,7271825.000167071
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A),114609.79520657667,112616.93121991721,113840.24848440378,110904.31200505479,110431.42445196013,112276.95054741018,109657.98679713588,106752.25854079513,103470.08774901205,101696.9899568358,100395.06688644475,98884.35444711967,97677.08415807974,96597.59936164689,94292.97674622413,96889.94843095826,97968.10344285087,1404401.477098374,97964.21327237398
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A),2201213265755.618,2118122115617.5654,2027483279659.426,1929977708699.7642,1846076930779.3987,2477235152463.6255,1979936507246.0537,1963478085042.66,2065141398177.3997,2332044827422.053,2551058100628.441,2951870482387.0225,3313464256249.3315,3081648743185.8447,2289831785133.8755,3191737190976.61,3739950939358.855,4132369113442.349,3953190933008.6147
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A),6554761.150087449,6442170.315350072,6496093.392849365,6507910.700510831,6530071.416138769,6724073.598180286,6790900.589097435,6905262.400165083,7138668.842120876,7457667.460164266,7716224.699634717,7953547.517355632,8190924.951200187,8265271.916265829,8168132.762089868,8581335.23279995,8876072.629993863,8911305.878582202,9017859.471680699
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),2201212603385.761,2118126447353.801,2027486600020.2722,1929979916876.7478,1846078173629.468,2477248578462.911,1979940397885.4363,1963481066078.6768,2065145135397.1853,2332051456663.571,2551066826296.2773,2951884824974.0825,3313483562053.956,3081665794501.6426,2289838707587.4585,3191756631772.7646,3739977718015.593,4132401328975.375,3953220691062.8403
