stressor,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Taxes less subsidies on products purchased: Total,1056792.4151495947,1122447.5360505958,1265974.5585659721,1246248.2997438628,1365609.4648337015,1598994.208157616,1687074.8859859183,1608870.6279063849,1568371.772765224,1653498.9201358357,1864936.2296281406,2153021.8470210377,2286081.2507583513,2478014.0923226676,2405426.0236391695,2971779.4637569264,3212641.164952599,3741618.1425426016,3752172.823228558
Other net taxes on production,910575.0706332463,863265.7895144217,1069674.2434227814,890901.8020299975,1064643.9210068865,1367187.9695344237,1392544.2563100634,1230484.9884740321,1170950.243939992,1220609.277919001,1387154.0449989801,1372388.4877783624,1385594.023310627,1495392.777581758,1569773.674515972,1673027.6820932352,1798331.362252037,2011587.0049094101,1906086.4861878187
"Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled",823903.6482978663,861261.3707793845,942799.5327988182,922873.6346039338,1000949.9605249818,1195252.4530783892,1190912.7687072586,1158020.2406815256,1109371.0750447547,1112877.9633699183,1223029.255468681,1300744.0057072085,1446731.685603308,1558413.062346618,1602686.7860513425,1845751.97831658,2001374.8809569883,2204892.554057199,2230866.1981824636
"Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled",6040878.141729756,6284418.453151296,6973031.197086675,7113839.860542224,7768864.090514841,9130123.21320019,10469605.90565751,10170722.962360308,9369177.078062799,9301288.315325955,10004312.586938573,10680857.459971324,10964862.017185856,11068342.146674346,11302845.746037357,12817839.39840544,13636110.336324286,15094191.31348514,15009425.51944371
"Compensation of employees; wages, salaries, & employers' social contributions: High-skilled",6195948.365619004,6477065.80184135,7125900.338723571,7421438.875461907,8205408.174020621,9824302.938232988,9132578.487950133,8990508.92045147,8263054.683736211,8452093.97421368,8889343.24956526,9740151.580446392,9705539.833475243,9901727.006370852,10201282.097246127,11305685.021097485,11697275.86260416,13155865.35288014,12649203.386501566
Operating surplus: Consumption of fixed capital,4039897.0539997825,4097683.2773261378,4371621.45162354,4608151.869276027,5069294.80310637,6071982.537477878,6228938.6579295555,6031764.577343392,5913279.331825482,5803100.780110237,6432715.422116059,6804743.662987834,6893447.9687491525,7103306.094343136,7434163.40356216,8562118.778822089,8913977.577659117,9415575.387861228,9594033.882157877
Operating surplus: Rents on land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating surplus: Royalties on resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating surplus: Remaining net operating surplus,4739943.727132062,5344364.977617927,6175077.068920106,5872446.479698801,6194798.1946492605,7231379.176381391,7264143.037282069,7609294.17660892,7121399.637603171,7790525.573441495,8477708.00675617,9053735.635065442,9774233.740419904,9778964.487871274,8884536.63992428,10814413.38440019,11674493.293576026,12951338.794104828,13134876.447362695
Employment: Low-skilled male,196845.2226926306,196800.84502850685,198041.14640047066,199157.30482198537,201444.63040291355,208646.20814862652,227286.94169855604,228072.3696073061,236655.5907218559,242901.88629035387,247823.4657524213,247564.06976859324,342030.9747494655,366524.065696279,372676.0693832757,383569.75085278624,393716.01182029134,402748.9724963444,414804.12236951373
Employment: Low-skilled female,103198.15036757456,105776.40019801923,105823.4901789373,107612.03804460113,112600.27219241932,113709.31205672852,102333.7076329289,109107.74448307737,107691.10073891253,109031.08375774187,111965.73056905123,119410.45391358205,160043.90449669058,188002.40408197124,189298.8849691136,192787.22426689693,195522.73244579273,199689.4426780533,207563.95037733667
Employment: Medium-skilled male,1147403.2188958335,1148806.1207657768,1167774.706452005,1179744.0629587646,1174879.5794698065,1194758.1229408295,1226897.473639016,1240650.6964335488,1272619.764151852,1282878.3331495994,1294074.4965137031,1304452.1734187475,1290033.4023707814,1267481.4385523042,1267572.1152116926,1288941.2926596426,1307754.1259566094,1317816.4377552778,1292372.0324861563
Employment: Medium-skilled female,562843.9667765851,584649.2576746522,584454.3768057858,597426.092398687,628838.6193658776,626740.2786904307,628150.1906874216,629827.1482906585,622895.0518703453,645822.7825205622,650350.358795236,667572.8067783341,652851.8980472028,638797.210284791,639172.3843968154,643075.5144444541,646818.4430488105,661680.2598543575,674609.151618224
Employment: High-skilled male,241013.73351812823,248008.57705874505,250538.2483212822,256141.51350981105,264047.98742403043,263175.09157912683,268783.3212824614,276904.1285719131,277457.89155298745,282491.01376482187,289533.3886847876,302821.731970566,291526.1046691501,284279.26344148564,290817.15150028985,302731.37964343966,298993.9605729399,306407.5760283387,306806.4664055001
Employment: High-skilled female,169880.26074921,176079.7212745211,175340.55184149338,185141.67426629527,187788.3081447189,195542.43258433123,189576.47805972488,198866.01661363826,192137.6449641938,202237.07151654726,202980.86968471782,220770.7211501654,208956.3786666292,199387.6969430598,205490.86453895085,213558.8641326774,199562.97315562246,216209.82318745297,217950.2114449092
Employment hours: Low-skilled male,445285.36179234117,445590.699947803,449239.4415373818,451064.34753930214,457125.5274711748,473746.1327391046,517339.60511645966,519164.15926504426,537786.1763950035,553143.4179150787,571433.5954523962,570307.7089258243,769818.7325696851,824518.8081441467,835790.7087922939,866513.663501226,889947.1231511983,910660.4074935549,940276.8483272293
Employment hours: Low-skilled female,226113.3774579043,231656.7637119237,232537.08375722732,236193.7187217407,247026.01829954982,248925.04381492062,221985.63557043913,237437.5054223715,233096.75084928243,236599.753336039,244106.66661696878,260722.0124427021,345312.2052945948,408718.8944597543,410271.2296788403,419944.3541423702,426025.7657530126,435047.705257636,452448.16827082576
Employment hours: Medium-skilled male,2503974.3500776994,2526510.52064226,2560164.4105629614,2581101.673192757,2572011.9317422663,2615995.5228864825,2681155.4453740865,2702261.3704461874,2771106.699646379,2798623.991022239,2846376.882591591,2856671.7105958904,2813566.281804322,2743798.1807350316,2720869.300609707,2788890.64656126,2823634.567692139,2837283.852233195,2786135.331932492
Employment hours: Medium-skilled female,1213620.5462042573,1257182.7527947468,1262139.8660821547,1284563.4151708048,1348307.1865471026,1350742.0984096872,1345140.9268860992,1344411.5868909997,1330755.6471031196,1377925.7697587449,1402534.7353479443,1427470.3069989309,1383909.520852734,1342758.0252536396,1333698.384622989,1350535.067786998,1360030.8805214502,1384723.8598125253,1410469.5494344004
Employment hours: High-skilled male,507570.0557721455,523546.53213736403,529944.2140665716,539320.5784533559,557791.9645306795,554562.4228236364,566823.4683949886,583648.0222973367,584406.0875639656,595050.4709284382,617315.3473446814,646984.4742546253,614129.6687498047,600787.3071237208,615914.3337966236,644409.1148854292,638628.2613113341,651807.9542440509,655019.6941575268
Employment hours: High-skilled female,336087.7670957696,349286.43260586145,352210.2743536701,367313.9511620092,372651.0027293377,387681.5589389302,377040.3754982533,396316.47603810864,383609.36572248256,402549.12947941583,410160.53664689587,444497.0750224105,413037.5170489401,391823.3260835265,405430.93153932947,423433.7268823806,399437.2433707068,428434.2100390871,434158.80823246617
Employment: Vulnerable employment,1409824.585303082,1260879.5400804274,1271342.0870000457,1326982.9999526222,1320588.0620001524,1340240.0689999452,1360048.7319999766,1376199.6199999047,1384304.8829999215,1399964.0060000313,1415853.4790000517,1429034.339000406,1453774.4289999155,1459088.5320001289,1448408.8520001401,1447811.958999939,1492737.052000294,1509830.7109999196,1496340.0889141387
Employment hours: Vulnerable employment,5467971.316772814,5590814.016483822,5653542.990700907,5747545.223655654,5860042.524344174,5971732.482188436,6060057.708748404,6097860.6230471805,6138093.031798065,6194950.123595899,6330499.387448668,6313773.709931285,6315998.516118316,6317230.503423804,6227753.492546841,6249347.342789931,6454371.674612214,6516325.045649844,3265508.3565398604
CO2 - combustion - air,21197745256641.727,21642953465425.69,21902204843903.234,22026263257901.465,22166464426674.207,22887260987265.17,23192236521498.6,23569729285694.633,24634325176536.6,25792024397990.445,26659911731340.98,27550554793801.977,28548862887583.688,28706901223638.72,28326426482149.77,29927629027988.367,30800007955156.875,31034450612376.965,31573653997822.113
CH4 - combustion - air,14872506520.469429,13712940385.022722,14214540869.223164,13399166736.059443,13349617420.227373,13362044401.465498,13343465628.71856,13355343278.978315,13703189594.587402,14102323997.612623,14320467412.447224,14530287239.437233,14464129611.51877,14653947400.414976,14878801784.665829,15076278190.041428,14974506920.403467,15179601635.327917,15232592033.947239
N2O - combustion - air,819468930.2812475,820558123.0048978,840258248.6595349,847793393.8033974,861368794.0356884,862864221.9208546,864501736.022624,867721336.8852253,881887046.5865362,915078010.1487536,930661608.9174345,946490850.0854917,967098388.4690275,962174536.8703313,939450513.386166,973649274.0400634,995719016.1766617,999702735.5203537,1011162081.8499045
SOx - combustion - air,80801829945.96255,79069733698.39856,77667348000.93947,76262215169.45924,73102813467.87994,73815229927.0473,73086391373.27267,72792858403.39906,76552205990.82115,79495781288.29524,81944263059.43718,81023963275.39188,79724703722.60909,74584116545.57494,70054039080.4822,69232059393.09149,70165263865.57219,69974837750.34863,70058415323.4206
NOx - combustion - air,88478242783.43546,88773529973.51007,87670383313.46355,86390350388.09935,85509061066.133,85381091531.4924,82602621077.9606,81405383940.37463,80823617397.78668,82578824346.88219,83217719468.55446,83826424047.50966,84360941784.73026,82429654449.94424,79066349139.006,80488133945.40248,80674873815.53748,80708187372.88892,81706626587.3376
NH3 - combustion - air,10341029734.433393,26465408086.77545,29189235921.148132,17205467306.35114,17121082163.548952,7460076895.101483,12847674395.232023,7539301576.198097,10182794498.451471,6802954679.771397,9225470682.794592,14569356956.517275,13152343982.711695,11298777706.858555,22199332983.49867,22044346111.407494,24736108987.460175,23991844837.770466,21138328718.408882
CO - combustion - air,362004399449.24994,356551262528.2195,350912645538.647,338876573577.9163,329760139986.3029,318770483210.08356,301817984973.7084,295369296300.60614,275819761678.0681,266933199353.0202,260038012260.28568,254272066508.8214,246071974961.95563,237207569568.9845,232133357822.21436,227911797077.14844,223001726719.95428,226661443650.13312,229727323113.04266
Benzo(a)pyrene - combustion - air,15105007.453870919,14488721.897174021,15293801.26768064,15028992.748753179,15121448.217268934,13937658.626817413,13936586.831435472,13677745.898166299,13545639.445550509,14189415.2052201,14407575.390590388,14476727.755196176,14179659.28339012,14269389.15359342,13855704.372916527,14100477.695984708,14014035.89820686,13797447.06613038,14073768.983776975
Benzo(b)fluoranthene - combustion - air,21396146.336706,20364140.07732836,21672773.473005142,21288483.660286013,21429881.908314846,19469019.070140034,19478671.613955874,19085871.794941425,18936201.48960351,19985263.097532235,20369837.381013148,20500566.73449536,20050292.77456752,20224569.44948054,19554276.44180896,19948690.09425718,19831864.807139624,19546552.1356609,19787358.86280532
Benzo(k)fluoranthene - combustion - air,3890729.1575330216,3804785.103841247,3830240.58733509,3685686.943410037,3701105.4946104316,3691830.5060148933,3645926.6678579515,3615288.3892240035,3637557.2844427517,3666384.7056820267,3662988.845757677,3675988.506779698,3651681.8072425625,3680045.2651841925,3655980.0223865258,3638064.584884586,3615804.6555570867,3616257.737847319,3598621.5997810457
